environment,candidate,split,collateral_disrupted_calls,benign_cost,scenario,policy,seed,malicious,detection_step,response_step,containment_step,detection_time_capped,containment_time_capped,detected,contained,harmful_actions,exfil_actions,post_detection_harm,decoy_actions,alert_events,false_positive,false_containment,disrupted_actions,persistence_survived,evidence_completeness
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100000,True,3,3,3,3,3,True,True,1,0,0,1,22,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,switcher,deception,100000,True,5,5,,5,25,True,False,6,2,3,2,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,slow,deception,100000,True,6,6,6,6,6,True,True,0,0,0,1,18,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,avoider,deception,100000,True,5,5,,5,25,True,False,23,11,19,0,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_build,deception,100000,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_admin,deception,100000,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,6.0,benign_drill,deception,100000,False,17,17,17,17,17,True,True,0,0,0,1,7,True,True,6,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100001,True,3,3,3,3,3,True,True,1,0,0,1,22,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,switcher,deception,100001,True,4,4,4,4,4,True,True,0,0,0,2,21,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,slow,deception,100001,True,12,12,,12,25,True,False,5,2,1,2,12,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,avoider,deception,100001,True,5,5,,5,25,True,False,23,11,19,0,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_build,deception,100001,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,2.0,benign_admin,deception,100001,False,21,21,21,21,21,True,True,0,0,0,1,1,True,True,2,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_drill,deception,100001,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100002,True,3,3,3,3,3,True,True,0,0,0,2,22,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,switcher,deception,100002,True,5,5,,5,25,True,False,4,2,0,2,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,slow,deception,100002,True,6,6,6,6,6,True,True,0,0,0,1,18,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,avoider,deception,100002,True,5,5,,5,25,True,False,23,11,19,0,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_build,deception,100002,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_admin,deception,100002,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,17.0,benign_drill,deception,100002,False,9,9,9,9,9,True,True,0,0,0,2,16,True,True,17,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100003,True,3,3,3,3,3,True,True,0,0,0,2,22,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,switcher,deception,100003,True,4,4,4,4,4,True,True,0,0,0,2,21,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,slow,deception,100003,True,6,6,6,6,6,True,True,0,0,0,1,18,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,avoider,deception,100003,True,5,5,,5,25,True,False,23,11,19,0,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_build,deception,100003,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,2.0,benign_admin,deception,100003,False,21,21,21,21,21,True,True,0,0,0,1,1,True,True,2,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_drill,deception,100003,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100004,True,3,3,3,3,3,True,True,0,0,0,2,22,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,switcher,deception,100004,True,4,4,,4,25,True,False,2,0,0,2,21,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,slow,deception,100004,True,6,6,6,6,6,True,True,1,0,0,1,18,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,avoider,deception,100004,True,5,5,,5,25,True,False,23,11,19,0,20,False,False,0,True,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_build,deception,100004,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,benign_admin,deception,100004,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
collateral_quarter,t12_l0,test,0.0,17.0,benign_drill,deception,100004,False,9,9,9,9,9,True,True,0,0,0,2,16,True,True,17,False,1.0
collateral_quarter,t12_l0,test,0.0,0.0,fast,deception,100005,True,3,3,3,3,3,True,True,0,0,0,2,22,False,False,0,False,1.0
